year,country,Real GDP/capita,loggedRGDP,laggedLRGDP,oil production,oil revenue,"TR, % of GDP",total tax revenue,H1,world oil price,total investment ratio,GDP,Total Investment,H2 ,oil rents,oil profit,oil tax revenue,NR tax revenue,H3,PolityIV,population,ResourceCursed
2009,Equatorial Guinea,19684.69701,4.294128734,4.308221547,346.0160685,8713521201,33.373,5015226083,1.74,68.99,39.393,15027795173,381483897.5,1.75,23.59907532,3546420701,5167100499,-151874416.3,-34.02,-6,909111,1
2010,Equatorial Guinea,17136.44568,4.233920749,4.294128734,322.7103836,10306338450,26.646,4342909509,2.37,87.5,38.056,16298542028,428277854.4,2.3,30.45941336,4964440287,5341898162,-998988653.3,-5.347306143,-6,951104,1
2011,Equatorial Guinea,17461.55192,4.24208284,4.233920749,298.8880329,12950377018,28.327,6041977977,2.14,118.71,32.049,21329395901,665524537.5,3.7,33.52304488,7150262960,5800114058,241863919,23.98089835,-6,994290,1
2012,Equatorial Guinea,18106.33666,4.257830591,4.24208284,310.4,13225536845,27.961,6260363688,2.11,116.73,41.148,22389627294,544124314.5,2.84,33.86681687,7582654074,5642882771,617480917.2,9.14,-6,1038593,1
2013,Equatorial Guinea,16634.76767,4.22101674,4.257830591,290.7972603,11882151766,24.87,5457124064,2.18,111.95,30.308,21942597765,723986992.4,3.69,30.57202219,6708295857,5173855909,283268155.7,18.26486954,-6,1083746,1
2014,Equatorial Guinea,16028.24954,4.204886095,4.22101674,278,10178775605,24.365,5296098399,1.92,100.31,29.496,21736500713,736930455.4,3.4,26.93221967,5854122120,4324653485,971444913.6,4.451774285,-6,1129424,1
2015,Equatorial Guinea,14010.94276,4.146467359,4.204886095,268,5189118639,28.787,3626359032,1.43,53.05,21.714,12597210658,580142334.8,2.44,14.70854163,1852865973,3336252666,290106366.1,11.5,-6,1175389,1
2016,Equatorial Guinea,12278.12914,4.089132197,4.146467359,244,3894965177,18.706,1998699585,1.95,43.73,10.35,10684804794,1032348289,4.23,20.82038065,2224617029,1670348147,328351437.6,5.087074263,-6,1221490,1
1999,Gabon,10593.23937,4.025028786,4.089132197,331,3127661376,26.611,1240868811,2.52,25.89,25.443,4662992036,183272099.8,1.02,26.58295953,1239561286,1888100090,-647231279.5,-2.917195367,-4,1200773,1
2000,Gabon,10137.55019,4.005933017,4.025028786,314.7917563,4563336386,31.429,1592779392,2.87,39.72,21.585,5067865321,234786440.6,1.84,40.25096616,2039864755,2523471631,-930692239.4,-2.71,-4,1231122,1
2001,Gabon,10098.60114,4.004261219,4.005933017,269.8023495,3262227761,31.901,1601071052,2.04,33.13,29.227,5018874179,171720470.1,1.13,27.74228515,1392350386,1869877375,-268806323.5,-6.956225402,-4,1262259,1
2002,Gabon,9823.251992,3.992255285,4.004261219,251.048166,3059049314,29.447,1563747938,1.96,33.38,31.94,5310381151,166261150.6,1.05,24.89293562,1321909761,1737139552,-173391614.7,-10.01859032,-4,1294409,1
2003,Gabon,9788.879137,3.990732966,3.992255285,241.1596041,3310234387,29.002,1884348588,1.76,37.61,28.661,6497305662,226695009.3,1.31,24.04831629,1562492616,1747741771,136606817.2,12.79,-4,1328146,1
2004,Gabon,9595.85149,3.982083518,3.990732966,238.7711151,4237096160,27.867,2161446331,1.96,48.62,26.516,7756293575,292513711.5,1.83,31.052483,2408521744,1828574416,332871914.9,5.493327414,-4,1364205,1
2005,Gabon,9579.356123,3.981336319,3.982083518,266.0288323,6505905692,28.745,2753475959,2.36,67,24.958,9578973591,383803733.9,2.68,38.27391262,3666247982,2839657710,-86181751.75,-32.94964018,-4,1403126,1
2006,Gabon,9041.673684,3.956248829,3.981336319,236.8824414,6705543034,29.807,3075612780,2.18,77.55,26.607,10318424464,387808639.2,2.91,37.78657017,3898978701,2806564333,269048447,10.43,-4,1444844,1
2007,Gabon,9299.463988,3.968457917,3.956248829,243.896999,7459487555,27.451,3414618019,2.18,83.79,26.019,12438956756,478072053.4,3.22,35.80762183,4454094595,3005392960,409225059.5,7.344107821,-4,1489193,1
2008,Gabon,8715.456719,3.940290151,3.968457917,247.748441,9803787837,29.923,4640630843,2.11,108.42,22.82,15508574820,679604505.7,4.75,39.33954769,6101003187,3702784650,937846193.2,3.948179005,-4,1536411,1
2009,Gabon,8449.939756,3.926853613,3.940290151,241.9275436,6092320479,29.368,3543289808,1.72,68.99,29.091,12065138273,414737832.1,2.37,23.05113058,2781150778,3311169702,232120106.4,14.26,3,1586754,1
2010,Gabon,8754.113922,3.942212194,3.926853613,245.5107123,7840827635,25.789,3702935536,2.12,87.5,26.105,14358585196,550031993.7,3.35,31.41930268,4511367344,3329460291,373475244.7,8.914808515,3,1640210,1
2011,Gabon,9060.661987,3.957159929,3.942212194,240.9904247,10441759168,23.483,4270730904,2.44,118.71,25.341,18186479173,717670146.1,4.68,39.1154396,7113721277,3328037891,942693013,3.530351711,3,1697101,1
2012,Gabon,9212.291274,3.964367661,3.957159929,229.65,9784937295,30.154,5177878105,1.89,116.73,29.244,17171446922,587178461.3,3.99,41.02311299,7044262072,2740675223,2437202882,1.12,3,1756817,1
2013,Gabon,9408.006197,3.973497595,3.964367661,219.65,8975031720,31.605,5559555175,1.61,111.95,33.407,17590745689,526558676,3.35,33.20615034,5841209460,3133822260,2425732915,1.291907382,3,1817271,1
2014,Gabon,9508.148293,3.978095947,3.973497595,219.65,8042331157,29.735,5405739081,1.49,100.31,36.046,18179717776,504347716.1,2.78,26.33670994,4787939538,3254391619,2151347462,1.512722457,3,1875713,1
2015,Gabon,9598.303666,3.982194486,3.978095947,212.9787671,4123776456,21.136,3014423183,1.37,53.05,34.858,14262032471,409146608.3,1.52,9.85215471,1405117504,2718658952,295764231.3,9.19,3,1930175,1
2016,Gabon,9569.454388,3.980887177,3.982194486,210.4696721,3359721490,17.138,2435919592,1.38,43.73,34.218,14213558130,415382492.6,1.28,18.09443232,2571862657,787858833.3,1648060759,0.478052055,3,1979786,1
1999,Ghana,957.9678774,2.981350947,3.980887177,6,56694768.15,8.33,643022258.1,0.09,25.89,4.306,7719354839,1792697362,6.01,0,0,56694768.15,586327489.9,0.096694713,2,18477612,1
2000,Ghana,969.2235554,2.98642396,2.981350947,7.131866035,103386137.4,12.183,607081863.6,0.17,39.72,19.273,4983024408,258549494.5,2.06,0,0,103386137.4,503695726.2,0.21,2,18938762,1
2001,Ghana,982.9326675,2.992523769,2.98642396,7.183325133,86854850.27,15.38,817433150.9,0.11,33.13,19.657,5314909954,270382558.6,1.69,0,0,86854850.27,730578300.6,0.118885067,6,19421605,1
2002,Ghana,1001.237862,3.000537264,2.992523769,7.433176945,90574072.67,12.028,741686188.8,0.12,33.38,16.252,6166330136,379419772.1,2.05,0.015113504,931948.5826,89642124.09,652044064.7,0.137478629,6,19924522,1
2003,Ghana,1026.398358,3.011315948,3.000537264,7.47740982,102637335.2,15.319,1169208360,0.09,37.61,18.091,7632406553,421889699.5,2.08,0.014919476,1138715.047,101498620.1,1067709740,0.1,6,20446782,1
2004,Ghana,1056.000375,3.023664073,3.011315948,8.573532222,152141017.7,17.637,1566406969,0.1,48.62,22.955,8881368538,386903443.2,2.12,0.045522994,4043064.832,148097952.9,1418309016,0.104418678,8,20986536,1
2005,Ghana,1089.468321,3.037214607,3.023664073,7.399393153,180956904.6,16.628,1784456121,0.1,67,23.75,10731634117,451858278.6,2.82,0.029955399,3214703.824,177742200.8,1606713920,0.110624672,8,21542009,1
2006,Ghana,1129.239516,3.052786067,3.037214607,7.081027617,200445989.7,17.063,3482431626,0.06,77.55,21.636,20409257610,943300869.4,3.58,0.035749328,7296172.431,193149817.3,3289281809,0.06,8,22113425,1
2007,Ghana,1147.866501,3.059891382,3.052786067,7.69119,235231824.6,17.5,4332793451,0.05,83.79,20.799,24758819718,1190385101,4.03,0.039410886,9757670.15,225474154.4,4107319296,0.054895697,8,22700212,1
2008,Ghana,1220.713267,3.086613665,3.059891382,7.227306,285995642.9,15.949,4549753847,0.06,108.42,21.821,28526891010,1307313643,4.97,0.055204007,15747987,270247655.9,4279506191,0.063149262,8,23298640,1
2009,Ghana,1247.462738,3.096027582,3.086613665,6.887709062,173449167.3,16.44,4270758181,0.04,68.99,21.441,25977847814,1211596838,3.22,0.022178156,5761407.582,167687759.7,4103070421,0.04,8,23903831,1
2010,Ghana,1312.607557,3.1181349,3.096027582,8.464041096,270314426.2,16.71,5376404561,0.05,87.5,25.885,32174772956,1242989104,3.38,0.219346834,70574345.74,199740080.5,5176664480,0.038584707,8,24512104,1
2011,Ghana,1460.645665,3.164544874,3.1181349,77.68932877,3366163871,19.127,7567844754,0.44,118.71,12.81,39566292433,3088703547,9.27,4.879462619,1930622449,1435541422,6132303331,0.234094979,8,25121796,1
2012,Ghana,1558.456624,3.192694719,3.164544874,79.20819126,3374906095,18.502,7759688656,0.43,116.73,16.968,41939728979,2471695484,6.88,5.471776763,2294848345,1080057750,6679630905,0.16,8,25733049,1
2013,Ghana,1633.494042,3.213117555,3.192694719,98.76532877,4035611011,16.731,7998266177,0.5,111.95,13.28,47805069495,3599779329,8.43,5.52896918,2643127559,1392483452,6605782725,0.210797647,8,26346251,1
2014,Ghana,1659.776145,3.220049518,3.213117555,105.8721781,3876435769,18.416,7111621294,0.55,100.31,18.846,38616536132,2049057420,5.32,5.675834523,2191810689,1684625079,5426996215,0.310415746,8,26962563,1
2015,Ghana,1685.986121,3.226853995,3.220049518,103.2091644,1998375368,19.586,7353242725,0.27,53.05,16.712,37543361204,2246491216,3.17,1.74225467,654100963.7,1344274405,6008968321,0.22,8,27582821,1
2016,Ghana,1707.661624,3.232401819,3.226853995,99.21365574,1583744812,17.252,7364841490,0.22,43.73,14.49,42689783734,2946154847,3.02,3.709044596,1583383117,361695.4083,7364479794,4.91E-05,8,28206728,1
1999,India,747.2520357,2.873467107,3.232401819,765,7228582939,16.853,76293530728,0.09,25.89,26.634,4.53E+11,16997071352,0.97,0.728961372,3300008118,3928574820,72364955908,0.054288361,9,1034539214,0
2000,India,762.3133408,2.88213352,2.873467107,772.9509445,11204979480,17.372,80284141981,0.14,39.72,24.263,4.62E+11,19047389001,1.64,1.248137952,5768229595,5436749885,74847392095,0.07,9,1053050912,0
2001,India,785.3446281,2.895060277,2.88213352,784.6308131,9487109455,16.946,81165492115,0.12,33.13,24.244,4.79E+11,19756042364,1.37,0.9508506,4554246245,4932863210,76232628905,0.06470803,9,1071477855,0
2002,India,801.5079327,2.903907825,2.895060277,815.8651649,9941406115,17.732,90090786580,0.11,33.38,24.75,5.08E+11,20528038467,1.35,0.955880919,4856534169,5084871946,85005914634,0.059817861,9,1089807112,0
2003,India,850.2932649,2.929568739,2.903907825,818.3335017,11232709174,18.195,1.09E+11,0.1,37.61,26.831,6.00E+11,22347020313,1.4,0.930208323,5577463080,5655246094,1.03E+11,0.05,9,1108027848,0
2004,India,902.9057944,2.95564244,2.929568739,846.6008332,15023296003,18.897,1.32E+11,0.11,48.62,32.818,7.00E+11,21320277071,1.48,1.071044335,7493977820,7529318183,1.25E+11,0.06038387,9,1126135777,0
2005,India,971.2297607,2.987321982,2.95564244,834.4883808,20407948491,19.062,1.54E+11,0.13,67,34.65,8.09E+11,23344908434,1.93,1.255174279,10153118265,10254830226,1.44E+11,0.071244827,9,1144118674,0
2006,India,1044.89394,3.019072211,2.987321982,871.385989,24666734324,20.338,1.87E+11,0.13,77.55,35.659,9.20E+11,25808814878,2.17,1.422905267,13095232377,11571501948,1.76E+11,0.07,9,1161977719,0
2007,India,1130.090071,3.053113059,3.019072211,873.9510274,26729426107,21.962,2.64E+11,0.1,83.79,38.114,1.20E+12,31513663442,2.2,1.228418032,14754673543,11974752563,2.52E+11,0.047554069,9,1179681239,0
2008,India,1156.932527,3.063308031,3.053113059,876.5325328,34685743932,19.708,2.34E+11,0.15,108.42,34.305,1.19E+12,34599992935,3.16,1.610168255,19111936508,15573807424,2.18E+11,0.071324696,9,1197146906,0
2009,India,1237.339786,3.092488978,3.063308031,879.224711,22141004008,18.518,2.45E+11,0.09,68.99,36.48,1.32E+12,36292223023,1.89,0.754488464,9988976805,12152027203,2.33E+11,0.05,9,1214270132,0
2010,India,1345.770153,3.128970892,3.092488978,965.8207493,30845228507,18.821,3.12E+11,0.1,87.5,36.502,1.66E+12,45384282317,2.4,0.913376339,15131148371,15714080136,2.96E+11,0.053074155,9,1230980691,0
2011,India,1416.403391,3.151186958,3.128970892,1007.01256,43632366902,19.291,3.52E+11,0.12,118.71,39.59,1.82E+12,46048242682,3,1.282236147,23375805149,20256561753,3.31E+11,0.061119042,9,1247236029,0
2012,India,1474.967674,3.168782502,3.151186958,1017.153414,43338917376,19.814,3.62E+11,0.12,116.73,38.348,1.83E+12,47659274516,3.04,1.290053581,23577507650,19761409726,3.42E+11,0.06,9,1263065852,0
2013,India,1550.14223,3.190371548,3.168782502,1020.509816,41698647709,19.6,3.64E+11,0.11,111.95,34.024,1.86E+12,54570953486,3.29,1.132677417,21030672172,20667975537,3.43E+11,0.060212679,9,1278562207,0
2014,India,1646.781252,3.216635914,3.190371548,1013.044733,37091924515,19.185,3.90E+11,0.09,100.31,34.567,2.04E+12,58882560245,2.9,0.893210277,18180343552,18911580963,3.72E+11,0.05089523,9,1293859294,0
2015,India,1758.043376,3.245029586,3.216635914,1007.912134,19515580751,20.379,4.26E+11,0.05,53.05,32.904,2.09E+12,63514022942,1.61,0.372947314,7794096909,11721483842,4.14E+11,0.03,9,1309053980,0
2016,India,1861.491029,3.269860948,3.245029586,992.4016393,15841679616,21.331,4.83E+11,0.03,43.73,30.376,2.26E+12,74525694606,1.44,0.633078795,14331590278,1510089338,4.81E+11,0.003137004,9,1324171354,0
1999,Indonesia,2071.55063,3.316295552,3.269860948,1569,14825681870,14.181,21138642159,0.7,25.89,13.64,1.49E+11,10928381806,1.9,4.001951733,5965434427,8860247443,12278394716,0.721612853,6,208612556,0
2000,Indonesia,2143.38989,3.331101178,3.316295552,1530.278416,22183475383,13.433,23602079220,0.94,39.72,25.087,1.76E+11,7003715871,1.58,6.38615067,11220608503,10962866880,12639212340,0.87,6,211540429,0
2001,Indonesia,2190.76618,3.340596028,3.331101178,1433.580788,17333677981,17.745,30314154951,0.57,33.13,25.315,1.71E+11,6748255709,1.31,4.427451692,7563508403,9770169578,20543985373,0.475573235,6,214506502,0
2002,Indonesia,2257.746855,3.353675246,3.340596028,1340.031535,16328430566,16.353,34067388655,0.48,33.38,24.215,2.08E+11,8603138905,1.38,3.498832765,7288943659,9039486907,25027901748,0.361176378,6,217508059,0
2003,Indonesia,2333.097483,3.367932885,3.353675246,1245.318163,17093638138,17.099,42742101634,0.4,37.61,28.089,2.50E+11,8899157277,1.34,3.12726843,7817183758,9276454380,33465647254,0.28,6,220545214,0
2004,Indonesia,2416.836389,3.383247251,3.367932885,1183.378492,20999560444,17.573,48055299611,0.44,48.62,27.358,2.73E+11,9995649868,1.78,3.695201099,10104933473,10894626971,37160672640,0.293176259,8,223614649,0
2005,Indonesia,2519.509842,3.401316059,3.383247251,1104.884035,27020647614,17.86,54360812552,0.5,67,28.579,3.04E+11,10650192477,2.34,5.056146077,15389485393,11631162221,42729650331,0.272203543,8,226712730,0
2006,Indonesia,2621.960398,3.418626128,3.401316059,1039.39499,29422644385,18.868,73239506813,0.4,77.55,28.986,3.88E+11,13391562597,2.68,4.414224112,17134598098,12288046287,60951460526,0.2,8,229838202,0
2007,Indonesia,2750.615143,3.43942983,3.418626128,987.7548223,30210067505,17.782,81831439263,0.37,83.79,28.736,4.60E+11,16014495759,2.92,3.591021079,16525611480,13684456025,68146983238,0.20080795,8,232989141,0
2008,Indonesia,2876.88504,3.458922508,3.43942983,1029.386531,40734412341,19.448,1.06E+11,0.39,108.42,32.998,5.43E+11,16463236351,3.29,4.41034562,23959373396,16775038945,88876974295,0.188744487,8,236159276,0
2009,Indonesia,2970.044131,3.472762902,3.458922508,1012.891483,25507056506,15.382,88370380516,0.29,68.99,31.173,5.75E+11,18429574928,2.21,1.915899876,11006943252,14500113254,73870267261,0.2,8,239340478,0
2010,Indonesia,3113.480635,3.493246169,3.472762902,1028.028341,32831940205,15.644,1.18E+11,0.28,87.5,32.88,7.55E+11,22965150863,2.66,2.22292196,16785153912,16046786294,1.02E+11,0.15719792,8,242524123,0
2011,Indonesia,3262.748613,3.513583614,3.493246169,998.1451205,43248153845,17.01,1.52E+11,0.28,118.71,32.984,8.93E+11,27072796141,3.6,2.723634412,24321213916,18926939929,1.33E+11,0.142343024,8,245707511,0
2012,Indonesia,3415.351267,3.533435377,3.513583614,970.8373749,41365481547,17.249,1.58E+11,0.26,116.73,35.072,9.18E+11,26171017054,3.33,2.363422809,21693146811,19672334736,1.39E+11,0.14,8,248883232,0
2013,Indonesia,3560.10658,3.551463,3.533435377,937.8729562,38322055685,16.864,1.54E+11,0.25,111.95,33.831,9.13E+11,26973016958,3.31,2.033745433,18558417951,19763637734,1.34E+11,0.147353002,8,252032263,0
2014,Indonesia,3692.942875,3.56737259,3.551463,902.0811,33029068686,16.461,1.47E+11,0.23,100.31,34.6,8.91E+11,25746091192,2.9,1.748162758,15572891794,17456176891,1.29E+11,0.135129768,9,255131116,0
2015,Indonesia,3827.548307,3.582920681,3.56737259,867.4796438,16796473092,14.869,1.28E+11,0.13,53.05,34.174,8.61E+11,25202093734,1.55,0.585732814,5044661058,11751812034,1.16E+11,0.1,9,258162113,0
2016,Indonesia,3974.058485,3.599234254,3.582920681,956.0042186,15260668607,14.332,1.34E+11,0.11,43.73,34.292,9.32E+11,27185908602,1.28,1.166947786,10878977833,4381690774,1.29E+11,0.033906222,9,261115456,0
1999,Iran,4491.195911,3.652362,3.599234254,3621,34215292576,18.513,21076763565,1.62,25.89,35.063,1.14E+11,3246968317,0.74,15.53657709,17688152215,16527140361,4549623204,3.632639368,3,65062660,0
2000,Iran,4676.873551,3.669955628,3.652362,3765.385159,54584399878,23.001,25207188712,2.17,39.72,38.481,1.10E+11,2847943344,1.03,30.24053835,33141122427,21443277451,3763911260,5.7,3,66131854,0
2001,Iran,4719.910627,3.673933775,3.669955628,3799.991166,45946362950,17.718,22480376977,2.04,33.13,41.746,1.27E+11,3039303174,0.79,20.05004464,25439246075,20507116875,1973260102,10.39250571,3,67096414,0
2002,Iran,5034.673168,3.701971283,3.673933775,3523.968566,42939941744,20.497,26364659281,1.63,33.38,43.252,1.29E+11,2973895253,0.77,19.97170392,25688987120,17250954624,9113704657,1.892858642,3,67983330,0
2003,Iran,5403.709434,3.732691988,3.701971283,3833.034036,52613459540,21.055,32328847406,1.63,37.61,47.92,1.54E+11,3204189303,0.78,21.86734262,33576156869,19037302671,13291544736,1.43,3,68812713,0
2004,Iran,5572.905717,3.746081696,3.732691988,4104.208679,72830948689,22.128,42052811068,1.73,48.62,47.161,1.90E+11,4029673543,1.03,24.72682761,46991712292,25839236397,16213574671,1.593679181,-6,69617100,0
2005,Iran,5684.957501,3.754727222,3.746081696,4238.583582,1.04E+11,25.139,56927803045,1.82,67,41.334,2.26E+11,5478592401,1.62,31.13930356,70515618768,33141660840,23786142205,1.393318032,-6,70421811,0
2006,Iran,5901.641789,3.770972846,3.754727222,4149.340275,1.17E+11,25.257,67259116118,1.75,77.55,40.464,2.66E+11,6581131664,1.92,32.02425381,85280239362,32177093527,35082022592,0.92,-6,71227880,0
2007,Iran,6311.7895,3.800152507,3.770972846,4039.025475,1.24E+11,26.306,92039854080,1.34,83.79,41.02,3.50E+11,8529536847,2.04,26.71051547,93455179276,30076723075,61963131005,0.485397084,-6,72031103,0
2008,Iran,6256.877968,3.796357685,3.800152507,4177.537353,1.65E+11,22.622,91861370208,1.8,108.42,43.17,4.06E+11,9406322667,2.51,30.1711863,1.23E+11,42795172116,49066198092,0.872192544,-6,72845542,0
2009,Iran,6247.69166,3.795719588,3.796357685,4178.296126,1.05E+11,21.414,88666614592,1.19,68.99,41.716,4.14E+11,9925666290,1.65,16.96292056,70236515356,34983083362,53683531231,0.65,-7,73687565,0
2010,Iran,6531.92743,3.815041351,3.795719588,4243.071584,1.36E+11,21.942,1.07E+11,1.27,87.5,39.586,4.87E+11,12304086557,2.21,20.20604307,98417487203,37092660696,69780144455,0.531564688,-7,74567511,0
2011,Iran,6622.672941,3.821033308,3.815041351,4214.979,1.83E+11,18.913,1.10E+11,1.65,118.71,38.606,5.84E+11,15114240210,3.07,23.00897829,1.34E+11,48371344093,61986078527,0.780358191,-7,75491582,0
2012,Iran,6052.516833,3.781936006,3.821033308,3519.747727,1.50E+11,13.946,83516095342,1.8,116.73,41.528,5.99E+11,14420472965,2.81,16.93666983,1.01E+11,48543742511,34972352831,1.39,-7,76453574,0
2013,Iran,5964.179046,3.775550673,3.781936006,3194.30074,1.31E+11,13.48,63007522081,2.07,111.95,41.22,4.67E+11,11339516066,2.72,18.43194057,86153627759,44367430584,18640091497,2.380215279,-7,77435384,0
2014,Iran,6161.103523,3.789658506,3.775550673,3379.980192,1.24E+11,14.27,61999527822,2,100.31,40.399,4.34E+11,10754588401,2.48,19.95962276,86719494496,37036116743,24963411079,1.483616026,-7,78411092,0
2015,Iran,6007.004893,3.778657986,3.789658506,3446.898,66740159176,16.122,62210682763,1.07,53.05,34.911,3.86E+11,11053091415,1.52,,0,66740159176,-4529476413,-14.73,-7,79360487,0
2016,Iran,6733.913474,3.828267532,3.778657986,4214.575596,67277152381,17.281,72403360024,0.93,43.73,33.534,4.19E+11,12494085994,1.3,9.979811379,41813082357,25464070023,46939290001,0.542489459,-7,80277428,0
1999,Italy,34902.26213,4.542853576,3.828267532,122,1152793619,45.563,5.69E+11,0,25.89,20.005,1.25E+12,62412555821,1.29,0.01990072,248473061.8,904320557.2,5.68E+11,0.001592174,10,56916317,0
2000,Italy,36180.77833,4.558477905,4.542853576,134.5217705,1950076766,44.174,5.04E+11,0,39.72,20.718,1.14E+12,55109566383,1.92,0.046539182,531365766.6,1418710999,5.03E+11,0,10,56942108,0
2001,Italy,36801.29381,4.565863087,4.558477905,122.2400822,1478026379,44.125,5.13E+11,0,33.13,20.67,1.16E+12,56232116708,1.6,0.030347849,352738463.1,1125287916,5.12E+11,0.002198913,10,56974100,0
2002,Italy,36837.86399,4.56629444,4.565863087,129.838874,1582100856,43.713,5.54E+11,0,33.38,21.417,1.27E+12,59135762912,1.56,0.040516371,513144146.2,1068956710,5.53E+11,0.00193455,10,57059007,0
2003,Italy,36729.97554,4.565020639,4.56629444,142.8892849,1961344340,43.831,6.88E+11,0,37.61,21.065,1.57E+12,74514581600,1.79,0.039618116,621865631.2,1339478708,6.87E+11,0,10,57313203,0
2004,Italy,37070.33052,4.569026458,4.565020639,153.2106749,2718789339,43.271,7.78E+11,0,48.62,21.171,1.80E+12,84942362214,2.3,0.04627909,832243708.7,1886545630,7.76E+11,0.002430294,10,57685327,0
2005,Italy,37238.93653,4.57099727,4.569026458,164.8135644,4030621409,42.971,7.96E+11,0.01,67,21.103,1.85E+12,87791403229,3.17,0.076872369,1424185156,2606436253,7.94E+11,0.00328473,10,57969484,0
2006,Italy,37872.16836,4.578320171,4.57099727,164.5394658,4657696291,44.042,8.56E+11,0.01,77.55,21.894,1.94E+12,88729048941,3.54,0.082351002,1599778402,3057917889,8.53E+11,0,10,58143979,0
2007,Italy,38236.79561,4.58248149,4.578320171,168.6095123,5156851309,45.265,9.97E+11,0.01,83.79,22.185,2.20E+12,99303735893,3.78,0.077920335,1716626571,3440224738,9.94E+11,0.003461785,10,58438310,0
2008,Italy,37585.33735,4.575018453,4.58248149,164.2067486,6497914248,45.138,1.08E+12,0.01,108.42,21.781,2.39E+12,1.10E+11,4.98,0.088168628,2107873091,4390041157,1.07E+12,0.004084757,10,58826731,0
2009,Italy,35363.40046,4.548554019,4.575018453,145.5255753,3664685837,45.889,1.00E+12,0,68.99,19.393,2.19E+12,1.13E+11,3.56,0.044262877,967214758.7,2697471078,1.00E+12,0,10,59095365,0
2010,Italy,35849.3732,4.554481567,4.548554019,156.142811,4986702438,45.645,9.70E+11,0.01,87.5,20.538,2.13E+12,1.03E+11,4.26,0.073803394,1568365099,3418337338,9.67E+11,0.003536585,10,59277417,0
2011,Italy,35994.13358,4.556231724,4.554481567,152.7214137,6617193291,45.667,1.04E+12,0.01,118.71,20.462,2.28E+12,1.11E+11,5.8,0.109422253,2490770439,4126422853,1.04E+12,0.003985388,10,59379449,0
2012,Italy,34885.2969,4.542642423,4.556231724,150.9922131,6433482853,47.832,9.91E+11,0.01,116.73,17.862,2.07E+12,1.16E+11,6.54,0.11695071,2424181405,4009301448,9.87E+11,0,10,59539717,0
2013,Italy,33887.29817,4.530036944,4.542642423,160.5093425,6558508720,48.117,1.03E+12,0.01,111.95,16.955,2.13E+12,1.26E+11,6.6,0.107135485,2282512215,4275996505,1.02E+12,0.004188653,10,60233948,0
2014,Italy,33615.97178,4.526545671,4.530036944,167.6555096,6138589249,47.877,1.03E+12,0.01,100.31,17.033,2.15E+12,1.26E+11,5.89,0.098242378,2113913542,4024675707,1.03E+12,0.003922072,10,60789140,0
2015,Italy,33984.08746,4.531275613,4.526545671,162.8929589,3153995855,47.765,8.75E+11,0,53.05,17.314,1.83E+12,1.06E+11,3.06,0.04475417,820051902,2333943953,8.73E+11,0,10,60730582,0
2016,Italy,34362.66797,4.536086876,4.531275613,133.3568634,2128771881,47.147,8.76E+11,0,43.73,17.008,1.86E+12,1.09E+11,2.57,0.071498274,1329090834,799681047.5,8.76E+11,0.000913272,10,60600590,0
1999,Kazakhstan,4078.426793,3.610492671,4.536086876,605,5716722455,17.538,2958803909,1.93,25.89,17.776,16870817135,949078371.7,1.46,8.394112056,1416155295,4300567160,-1341763251,-3.205160939,-4,14928426,0
2000,Kazakhstan,4491.591823,3.652400283,3.610492671,725.6292235,10518986512,21.855,3997714550,2.63,39.72,18.139,18291990619,1008434347,2.19,20.71835866,3789800223,6729186288,-2731471739,-2.46,-4,14883626,0
2001,Kazakhstan,5106.634167,3.708134747,3.652400283,835.971185,10107874941,25.654,5683052160,1.78,33.13,26.876,22152694162,824255624.4,1.23,14.3797405,3185499933,6922375007,-1239322847,-5.585610742,-4,14858335,0
2002,Kazakhstan,5606.852997,3.74871917,3.708134747,967.5143646,11789268171,22.451,5531161545,2.13,33.38,27.288,24636593223,902836163.3,1.22,15.67472795,3861718964,7927549208,-2396387663,-3.308124695,-6,14858948,0
2003,Kazakhstan,6107.709259,3.785878355,3.74871917,1061.973738,14576993518,25.351,7816651212,1.86,37.61,25.704,30833699703,1199568149,1.46,16.37171876,5048006599,9528986919,-1712335708,-5.56,-6,14909018,0
2004,Kazakhstan,6647.69213,3.822670898,3.785878355,1245.866876,22108443702,24.55,10593729339,2.09,48.62,26.311,43151647003,1640061077,1.85,18.10792762,7813869005,14294574696,-3700845357,-3.862516078,-6,15012985,0
2005,Kazakhstan,7227.982949,3.859017119,3.822670898,1337.173063,32701424755,28.084,16042611970,2.04,67,30.97,57123671734,1844484073,2.16,20.96254256,11974573999,20726850756,-4684238786,-4.424806613,-6,15147029,0
2006,Kazakhstan,7917.195342,3.89857136,3.859017119,1387.865524,39286964205,27.453,22237996424,1.77,77.55,33.901,81003884545,2389424635,2.29,18.46510202,14957449918,24329514287,-2091517863,-11.63,-6,15308084,0
2007,Kazakhstan,8523.766205,3.930631529,3.89857136,1445.649626,44214588281,28.839,30237658862,1.46,83.79,35.527,1.05E+11,2951273308,2.36,15.34099858,16085019646,28129568635,2108090226,13.34362651,-6,15484192,0
2008,Kazakhstan,8698.423654,3.939440556,3.930631529,1430.941371,56624556556,28.295,37757304185,1.5,108.42,27.506,1.33E+11,4851363784,3.94,16.83900116,22470234628,34154321928,3602982257,9.479458818,-6,15674000,0
